Taxon,CommonName,PostBreedingBiomass_gha,PostBreedingDensity_N10km2,MeanDensity_N10km2
Lynx_lynx,Lynx,8.46,0.5,0.42
Canis_lupus,Wolf,8,0.27,0.23
Vulpes_vulpes,Red_fox,9.49,2.14,0.97
Nyctereutes_procyonoides,Raccoon_dog,25.13,6.81,1.71
Meles_meles,Badger,5.68,0.5,0.36
Martes_martes,Pine_marten,12.95,12.33,5.68
Mustela_erminea,Stoat,0.87,3.80,2
Mustela_nivalis,Weasel,3.61,51.58,18.4
Mustela_putorius,Polecat,9.52,13.13,4.38
Lutra_lutra,River_otter,1.47,0.31,0.31
Mustela_vison,American_mink,1.44,1.75,0.66
Accipiter_gentilis,Goshawk,3.81,3.7,2.4
Accipiter_nisus,Sparrowhawk,1.18,5.9,3.69
Buteo_buteo,Common_buzzard,13.86,17.11,11.7
Pernis_apivorus,Honey_buzzard,2.73,3.5,2.8
Aquila_pomarina,Lesser_spotted_eagle,3.71,2.75,2.2
Falco_subbuteo,Hobby,0.18,0.75,0.52
Strix_aluco,Tawny_owl,14.65,29.9,18.1
Glaucidium_passerinum,Pygmy_owl,0.12,1.81,0.72
Aegolius_funereus,Tengmalms_owl,0.19,1.74,0.55
Asio_otus,Long-eared_owl,0.38,1.3,0.5
