Common_name,Scientific_name,Comment,FracOccInDiet_S,FracBioInDiet_S,FracOccInDiet_W,FracBioInDiet_W
Eastern_hedgehog,Erinaceus_concolor,NA,0,0,0.1,0.3
Mole,Talpa_europaea,NA,2.5,1.5,3.7,2.0
Common_shrew,Sorex_araneus,NA,1.7,1.5,2.5,1.0
Lesser_shrew,Sorex_minutus,NA,0.3,0.3,0.5,0.2
Undet._shrew,Sorex_sp.,NA,1.5,0.4,1.5,0.4
Water_shrew,Neomys_fodiens,NA,0.5,0.2,0,0
Undet._water_shrew,Neomys_sp.,NA,0.2,+,0.3,0.1
Undet._soricidae,NA,NA,1.7,0.4,1.4,0.7
Undet._bat,NA,Undet._bats,0.2,+,0,0
Brown_hare,Lepus_europaeus,NA,0,0,0.4,0.5
Red_squirrel,Sciurus_vulgaris,NA,0.3,0.1,0.6,0.8
Bank_vole,Clethrionomys_glareolus,NA,36.6,31.5,43.9,37.5
Water_vole,Arvicola_terrestris,NA,0.3,0.3,0.2,0.1
Pine_vole,Pitymys_subterraneus,NA,4.5,3.0,5.1,4.8
Root_vole,Microtus_oeconomus,NA,4.5,4.9,2.6,2.7
Short-tailed_vole,Microtus_agrestis,NA,1.2,0.9,1.0,1.1
Common_vole,Microtus_arvalis,NA,0.7,0.6,1.2,1.5
Undet._vole,Microtus_sp.,NA,17.2,12.2,13.2,9.7
Common_rat,Rattus_norvegicus,NA,0,0,0.1,+
Harvest_mouse,Micromys_minutus,NA,0,0,0.6,0.3
Striped_field_mouse,Apodemus_agrarius,NA,0,0,0.5,0.3
Yellow-necked_mouse,Apodemus_flavicollis,NA,10.8,10.8,13.6,12.7
Undet._mouse,Apodemus_sp.,NA,11.3,8.5,18.5,12.2
Birch_mouse,Sicista_betulina,NA,0.8,0.4,0.3,0.1
Fat_dormouse,Glis_glis,NA,0,0,0.1,+
Undet._dormouse,Gliridae,NA,0,0,0.1,+
Undet._small_rodent,NA,NA,2.5,1.1,0.6,0.4
Polecat,Mustela_putorius,NA,0.2,0.5,0,0
Weasel,Mustela_nivalis,NA,0.5,0.4,0.1,+
Domestic_cat,Felis_catus,NA,0,0,0.4,0.6
Wild_boar_carcass,NA,Carcass,1.3,0.4,2.4,2.9
Roe_deer_carcass,NA,Carcass,0,0,0,0
Undet._cervidae_carcass,NA,Carcass,4.8,0.9,8.5,1.5
Domestic_livestock_carcass,NA,Carcass,0,0,0.1,0.1
Hazel_hen,Bonasa_bonasia,NA,0,0,0,0
NA,Columba_sp.,NA,0.2,0.1,0,0
Woodpecker,Dendrocopos_sp.,NA,0.3,0.7,0.3,0.2
Wren,Troglodytes_troglodytes,NA,0.3,0.2,0,0
Robin,Erithacus_rubecula,NA,0.2,0.1,0.1,+
Blackbird,Turdus_merula,NA,0.2,0.1,0,0
Songthrush,Turdus_philomelos,NA,0.8,1.0,0.1,0.1
Undet._thrush,Turdus_sp.,NA,0.3,0.1,0,0
Spotted_flycatcher,Muscicapa_striata,NA,0,0,0.1,+
Flycatcher,Ficedula_sp.,NA,0.5,0.2,0.1,0.2
Blue_tit,Parus_caeruleus,NA,0.3,0.5,0,0
Nuthatch,Sitta_europaea,NA,0.3,0.2,0.2,+
Jay,Garrulus_glandarius,NA,0.3,0.2,0,0
Starling,Sturnus_vulgaris,NA,0.2,0.1,0,0
Hawfinch,Coccothraustes_coccothraustes,NA,0.2,0.1,0,0
Undet._medium-sized_bird,NA,Undet._birds,1.3,1.0,0.2,0.1
Undet._small_passerine,NA,Undet._birds,17.2,8.2,3.5,1.0
Bird_egg,NA,Undet._birds,1.3,0.2,0.1,+
Lizard,Lacerta_sp.,NA,0.2,+,0.3,+
Undet._reptile,NA,NA,0,0,0,0
Undet._frog,Rana_sp.,NA,0.7,0.3,2.1,0.6
Undet._anuran,NA,Undet._amphibians,9.9,1.3,12.9,1.4
Fish,NA,NA,0,0,0.3,+
Snail,NA,Gastropoda_sp.,2.0,+,2.1,+
Carabidae_beetle,NA,Coleoptera,4.1,0.1,3.7,0.1
Undet._beetle,NA,Coleoptera,2.8,0.1,1.4,+
Larvae_of_beetles,NA,Coleoptera,0.7,+,2.5,+
Nest_of_wasps,NA,Hymenoptera,10.1,0.4,5.5,0.2
Nest_of_bees,NA,Hymenoptera,1.3,0.1,1.2,0.1
Nest_of_bumblebees,NA,Hymenoptera,2.3,0.1,0.5,0.2
Other_and_undet._insects,NA,NA,1.7,+,1.2,+
Earthworm,NA,Lumbricidae_sp.,1.0,+,0.5,+
Raspberry,Rubus_sp.,Fleshy_fruits,4.8,1.2,2.9,0.1
"Vaccinium_myrtillus,_V._vitis-idaea,",NA,Fleshy_fruits,0,0,0,0
Oxycoccus_quardipetalus_berries,NA,Fleshy_fruits,0,0,0,0
Rowan_fruit,Sorbus_aucuparia,Fleshy_fruits,4.3,1.5,1.9,0.3
Malus_sp._and_crataegus_sp._fruit,NA,Fleshy_fruits,0,0,0,0
Other_soft-tissue_fruit,NA,Fleshy_fruits,1.7,0.1,1.1,+
Oak_seeds,Quercus_robur,Tree_seeds,0.3,+,0.9,0.1
Hazel_nuts,Corylus_avellana,Tree_seeds,0.5,+,0.7,0.1
Other_tree_seeds,NA,Tree_seeds,0.7,+,1.2,0.1
Other_plant_material,NA,Grasses,10.4,0.8,4.0,0.3
Mushrooms,NA,Mushrooms,2.3,0.2,3.4,0.3
