Taxon,Clade,Trophic_level,B,SourceB,R,SourceR
Accipiter_gentilis,Bird,Predator,0.55,p131,21.53,Table3.3
Accipiter_nisus,Bird,Predator,0.6,p134,22.72,Table3.3
Aegolius_funereus,Bird,Predator,2.15,p155,19.96,Table3.3
Aquila_pomarina,Bird,Predator,0.26,p141,20.85,Table3.3
Asio_otus,Bird,Predator,1.65,p157,21,Table3.3
Buteo_buteo,Bird,Predator,0.35,p137,16.8,Table3.3
Canis_lupus,Mammal,Predator,0.2,p108,13.2,Table3.3
Falco_subbuteo,Bird,Predator,0.45,p147,11.47,Table3.3
Glaucidium_passerinum,Bird,Predator,1.5,p154,16.69,Table3.3
Lutra_lutra,Mammal,Predator,1,p129,18.39,Table3.3
Lynx_lynx,Mammal,Predator,0.18,p103,16.7,Table3.3
Martes_martes,Mammal,Predator,1.3,p118,16.01,Table3.3
Meles_meles,Mammal,Predator,1.39,p117,12.53,Table3.3
Mustela_erminea,Mammal,Predator,2.95,MeanMustela,15.38,Table3.3
Mustela_nivalis,Mammal,Predator,5.2,p122,14.95,Table3.3
Mustela_putorius,Mammal,Predator,2,p128,16.14,Table3.3
Mustela_vison,Mammal,Predator,1.65,p131,12.7,Table3.3
Nyctereutes_procyonoides,Mammal,Predator,3.1,p115,14.55,Table3.3
Pernis_apivorus,Bird,Predator,0.25,p141,11.12,Table3.3
Strix_aluco,Bird,Predator,0.7,p151,12.7,Table3.3
Vulpes_vulpes,Mammal,Predator,1.6,p112,14.41,Table3.3
